Data;Atividade;Descrição;Pontuação;Status
30/03/2026;Desafio GYMRATS;47 dias de treinos ativos - até 15/maio;Complexa;Em andamento
13/04/2026;Trashketball;Acerte a bolinha no cesto;Simples;Concluida
29/04/2026;TBD;TBD;Simples;
